data_name,data_preprocessing_name,metric_name,metric_value,predicted_client_name,cross_validation_method,seed
Strongly Imbalanced Simulated Data,uncorrected,MCC,1.0,lab1,Train-Test-Split,44
Strongly Imbalanced Simulated Data,uncorrected,F1_score,1.0,lab1,Train-Test-Split,44
Strongly Imbalanced Simulated Data,uncorrected,MCC,0.75,lab2,Train-Test-Split,44
Strongly Imbalanced Simulated Data,uncorrected,F1_score,0.875,lab2,Train-Test-Split,44
Strongly Imbalanced Simulated Data,uncorrected,MCC,0.9791666666666666,lab3,Train-Test-Split,44
Strongly Imbalanced Simulated Data,uncorrected,F1_score,0.9895833333333334,lab3,Train-Test-Split,44
Strongly Imbalanced Simulated Data,corrected,MCC,1.0,All,Train-Test-Split,44
Strongly Imbalanced Simulated Data,corrected,F1_score,1.0,All,Train-Test-Split,44
Strongly Imbalanced Simulated Data,corrected,MCC,1.0,lab1,Train-Test-Split,44
Strongly Imbalanced Simulated Data,corrected,F1_score,1.0,lab1,Train-Test-Split,44
Strongly Imbalanced Simulated Data,corrected,MCC,1.0,lab2,Train-Test-Split,44
Strongly Imbalanced Simulated Data,corrected,F1_score,1.0,lab2,Train-Test-Split,44
Strongly Imbalanced Simulated Data,corrected,MCC,1.0,lab3,Train-Test-Split,44
Strongly Imbalanced Simulated Data,corrected,F1_score,1.0,lab3,Train-Test-Split,44
Proteomics Data,uncorrected,MCC,1.0,All,Train-Test-Split,44
Proteomics Data,uncorrected,F1_score,1.0,All,Train-Test-Split,44
Proteomics Data,uncorrected,MCC,1.0,lab_A,Train-Test-Split,44
Proteomics Data,uncorrected,F1_score,1.0,lab_A,Train-Test-Split,44
Proteomics Data,uncorrected,MCC,1.0,lab_B,Train-Test-Split,44
Proteomics Data,uncorrected,F1_score,1.0,lab_B,Train-Test-Split,44
Proteomics Data,uncorrected,MCC,1.0,lab_C,Train-Test-Split,44
Proteomics Data,uncorrected,F1_score,1.0,lab_C,Train-Test-Split,44
Proteomics Data,uncorrected,MCC,1.0,lab_D,Train-Test-Split,44
Proteomics Data,uncorrected,F1_score,1.0,lab_D,Train-Test-Split,44
Proteomics Data,uncorrected,MCC,1.0,lab_E,Train-Test-Split,44
Proteomics Data,uncorrected,F1_score,1.0,lab_E,Train-Test-Split,44
Proteomics Data,corrected,MCC,1.0,All,Train-Test-Split,44
Proteomics Data,corrected,F1_score,1.0,All,Train-Test-Split,44
Proteomics Data,corrected,MCC,1.0,lab_A,Train-Test-Split,44
Proteomics Data,corrected,F1_score,1.0,lab_A,Train-Test-Split,44
Proteomics Data,corrected,MCC,1.0,lab_B,Train-Test-Split,44
Proteomics Data,corrected,F1_score,1.0,lab_B,Train-Test-Split,44
Proteomics Data,corrected,MCC,1.0,lab_C,Train-Test-Split,44
Proteomics Data,corrected,F1_score,1.0,lab_C,Train-Test-Split,44
Proteomics Data,corrected,MCC,1.0,lab_D,Train-Test-Split,44
Proteomics Data,corrected,F1_score,1.0,lab_D,Train-Test-Split,44
Proteomics Data,corrected,MCC,1.0,lab_E,Train-Test-Split,44
Proteomics Data,corrected,F1_score,1.0,lab_E,Train-Test-Split,44
Microarray Data,uncorrected,MCC,0.8235294117647058,All,Train-Test-Split,44
Microarray Data,uncorrected,F1_score,0.9117647058823528,All,Train-Test-Split,44
Microarray Data,uncorrected,MCC,1.0,GSE14407,Train-Test-Split,44
Microarray Data,uncorrected,F1_score,1.0,GSE14407,Train-Test-Split,44
Microarray Data,uncorrected,MCC,0.8974358974358975,GSE26712,Train-Test-Split,44
Microarray Data,uncorrected,F1_score,0.9487179487179488,GSE26712,Train-Test-Split,44
Microarray Data,uncorrected,MCC,0.6666666666666666,GSE38666,Train-Test-Split,44
Microarray Data,uncorrected,F1_score,0.8333333333333334,GSE38666,Train-Test-Split,44
Microarray Data,uncorrected,MCC,1.0,GSE40595,Train-Test-Split,44
Microarray Data,uncorrected,F1_score,1.0,GSE40595,Train-Test-Split,44
Microarray Data,uncorrected,MCC,0.6666666666666666,GSE6008,Train-Test-Split,44
