rowname,20230516_EXPL1_LiSc_SA_S610_RT_25_s2,20230516_EXPL1_LiSc_SA_S610_RT_27_s12,20230516_EXPL1_LiSc_SA_S610_RT_30_s30,20230516_EXPL1_LiSc_SA_S610_RT_32_s38,20230516_EXPL1_LiSc_SA_S610_RT_35_s51,20230516_EXPL1_LiSc_SA_S610_RT_36_s56,20230516_EXPL1_LiSc_SA_S610_RT_37_s63,20230516_EXPL1_LiSc_SA_S610_RT_38_s68,20230516_EXPL1_LiSc_SA_S610_RT_39_s72,20230516_EXPL1_LiSc_SA_S610_RT_40_s80,20230516_EXPL1_LiSc_SA_S610_RT_41_s81,20230516_EXPL1_LiSc_SA_S610_RT_42_s89,20230516_EXPL1_LiSc_SA_S610_RT_43_s92,20230516_EXPL1_LiSc_SA_S610_RT_44_s96,20230516_EXPL1_LiSc_SA_S610_RT_45_QC1_LabD
P0AGE6,22.939448428835163,23.006525602116355,22.781313221519575,22.868023372149864,22.325651130376773,22.51698357060458,22.71487115762512,22.45252802286683,22.442250132453314,22.479878560403268,22.433762553598825,22.51930659809463,22.526244628863893,22.41933930423359,23.00782731223927
P0AGE9,26.784724866826448,27.022247001353076,26.944827109554108,26.71299296089482,24.78725537513206,24.90937857102296,25.052853494376173,24.946565960817374,24.807900878554516,24.89177355150872,24.747430090635728,24.80422233747691,24.722954975554646,24.44283605987038,26.993915250748497
P0AGF2,20.028239612980308,20.18540976091144,20.031170462409587,19.835264509044634,19.828599282759082,19.922971555523084,20.013209135950774,19.865058983437113,19.962154288513158,20.088981286125385,19.778457315243113,19.892550081561147,19.995291927654346,19.819758714246646,19.804907871937
P0AGG0,20.34088640553005,20.44415759749776,20.40379539815584,20.428234954954096,20.31169896460289,20.43792032211559,20.471408387863743,20.53990512958843,20.346679585095607,20.554915506246072,20.34918706367634,20.400252172105688,20.420378076970085,20.398803311312975,20.495010527289477
P0AGG2,21.803940739428974,21.60764925043816,21.66762182461501,21.759128044166243,21.159960460210396,21.185399879827585,21.158760374936747,21.06403196677023,21.12602962841641,21.20634710322771,21.139535655663696,21.08198300658189,21.18985223635446,21.116958349591247,21.543814708044884
P0AGG4,21.00744971086463,21.301562221835304,21.06657367666776,20.99820112696481,20.807133348309055,20.832758567206703,20.873379959850663,20.897870522947645,20.930451219696504,20.889056239104377,20.702839296745573,20.69086094124368,20.81621929867689,20.65207807913259,21.090082945795412
P0AGG8,21.60364632989239,21.384365162673806,21.55761790478566,21.50846832704659,21.660981643818904,21.653947708182873,21.526731486636272,21.64427133467463,21.670169313632528,21.6261068898746,21.6659987123242,21.621858414220085,21.62960521162298,21.635964793854104,21.4590385691607
P0AGI8,19.805715466351273,19.76642461212208,19.782854427459114,20.023279559094746,19.680513931944397,19.626824198175314,19.692228155224825,19.790995054458907,19.67873802426761,19.679129513775308,19.729837228961017,19.71790787754539,19.716764259162552,19.683759093467728,19.90375970239529
P0AGJ2,20.30034325135341,20.268329270011098,20.31172771065766,20.261206521181094,20.48004631269052,20.476630509114848,20.55414142430241,20.437928479289784,20.413983310223816,20.490981117095927,20.379753259955773,20.459941565701616,20.46973092466172,20.415760471163555,20.14863995949619
P0AGJ5,22.425688491756723,22.48546321037292,22.485548368459558,22.363686905923746,22.595120621125282,22.64323019601512,22.76305909245886,22.62090619263114,22.63129988829601,22.66634817556167,22.549966449167055,22.657071155967614,22.64763723663609,22.56245500512783,22.43818211970094
P0AGJ7,19.713186826188316,19.890203502179695,19.82547241796592,19.835113060435823,19.890955616506286,19.987432919343238,19.96046545346743,19.901338769699496,19.939068099622318,19.938498830391026,19.835291456620528,19.86503635566781,19.87476423795252,19.785707437791004,19.800141060525466
P0AGJ9,23.45545502875715,23.297544868566977,23.456495732110234,23.207517100316938,23.606532860410784,23.60762027446025,23.541753837947176,23.585714721728685,23.588413358347506,23.555442651020897,23.673114790349256,23.64197997362251,23.631875827082236,23.64154009093104,23.40855990552121
P0AGK4,22.34053420404649,22.777128858102937,22.259253404876826,22.23177207936404,22.571442274556283,22.82306975920603,22.621071501395424,22.31906762383565,22.711706131391917,22.413895966187813,22.413482131270893,22.468028408940473,22.57262747131178,22.542161788839575,22.299258775433923
P0AGK8,20.8040346262972,21.10988091666083,20.72570804643751,21.629018562924564,21.40014147761721,21.2252477698079,20.044888700327686,21.04605455409139,21.305800490207677,21.121079357762493,21.257893620945346,21.505324341560577,21.15716024942999,21.000594879950363,20.360237055093354
P0AGL5,17.902953792063116,18.048348323215606,18.1090995402763,18.017102986930283,18.619992952851003,18.69183653396485,18.637045098998346,18.470316617476595,18.628973062736552,18.773921739489772,18.58488356552224,18.52165911016064,18.555080586992972,18.603869324055157,18.332266777051935
P0AGL7,20.57943104899974,20.4633983568443,20.542681470545055,20.542850811922616,20.85318401551575,20.796984239584816,20.860253322479622,20.88169270735154,20.92370715403575,20.958846030424244,20.88573884936909,20.83205760839977,20.89633158179815,20.88124165153478,20.56519791974932
P0AGM7,17.906481259704897,17.933170815174968,17.53841449397899,17.94033952738299,18.208113957723832,18.059719839359083,17.771865712449,18.163443442370745,18.468339858261114,18.07822968522345,18.127240799045943,18.040912830198565,18.07239988638095,18.38494795894582,17.9684238860419
P0C018,25.32994325170187,25.724129651325626,25.505052924445355,25.433906333346563,25.93264939074003,25.89048250008968,26.143838828967265,25.84171859757722,25.97093579873589,25.954206078763953,25.952650671203006,25.96231370213825,26.041165444720978,25.907055150563874,25.442400946246874
P0C037,22.001458339264307,22.241866644881,22.189521213679466,21.87227581416877,22.241294705208855,21.498727461219037,22.50633369805331,22.31287231888057,22.29931952273598,22.185875868828294,22.143517439547864,22.11321751181083,22.24434623900996,22.103570363521897,21.80897732465419
P0C054,21.335188142173887,21.82091583614367,21.48903889992047,21.466693968234217,21.509712927519352,21.578529506633885,21.590366378364017,21.255650426863745,21.50920306535455,21.57913218017225,21.428613170259727,21.5979590823884,21.570893864525935,21.597868779389064,21.584664367354076
P0C058,17.229343074393796,17.44903202047098,17.147513616903144,16.69069667380751,16.923663503589363,17.082908778472678,16.683078556268132,16.731172971464595,16.759213716036445,16.9575289489259,16.871394475187955,17.199238933432078,17.02259101130428,16.961788198509737,16.872570179982592
P0C066,19.519783600877854,19.56016787731659,19.523720853773266,19.726287308187416,19.843344109822834,19.892496908497737,19.749779649237766,19.897514207446235,19.841990998511896,19.82330636391798,19.79114267584239,19.755367806049758,19.797033380545816,19.75839567279232,19.65444014882936
P0C077,19.413695887341596,19.5442118063212,19.434939924190644,19.155308393221333,18.914200066250487,18.96103896010425,19.099178927362527,18.853634379891144,18.914679446329966,19.065494301787666,19.013853202653934,18.958032548616984,18.853604966863376,18.851625563314297,19.489053643071482
P0C079,21.33261772621619,21.651481668214075,21.387233407426283,21.25294318324321,21.00191978127555,21.182812637306885,21.322977852542994,20.9129590939401,21.147439069949744,21.223379373897107,21.08244645211276,21.16717653352,21.186033370495448,20.975370021298808,21.320336547005027
P0C093,20.257537272259018,19.900029579695524,20.363847029216505,20.286286711216036,20.23620200781926,20.029507949839005,20.348659012937137,20.297708041163283,19.83792861074474,20.399387981837087,19.966813601036268,20.23897605051425,20.183602721435598,20.274204649966194,20.40982020346848
P0C0K3,19.73233612287823,19.7844214234832,19.651656056984464,19.758344883987768,19.904018512476327,19.848638428938965,19.682690975311512,19.818578068995983,19.87211185474928,19.893331213927404,19.683269297422118,19.81685030417604,19.83467081535996,19.89690577483797,19.711701011392073
P0C0L2,25.652169503657955,25.969220627239547,25.667374533721052,26.242978960698064,25.14432042753642,25.229109579200646,25.128291179988235,25.093367189540086,25.230891320904156,25.27387536988358,25.308848482996957,25.319325941259518,25.222110109649574,25.112899758551553,25.76503810907047
P0C0L7,19.546446227772478,19.680273981341102,19.44593351112946,19.961895436466644,21.900175250848694,21.911784437560158,21.534743127295393,21.92942964383972,21.829211394017715,21.595302419343877,21.7976095092011,21.741935673668866,21.589537535050642,21.72780613671385,19.74636553366398
