"rowname"	"Ref8537_QC1_20230414_1"	"Ref8537_QC3_20230414_1"	"Ref8537_QC4_20230414_1"	"Ref8537_S11_20230414"	"Ref8537_S35_20230414"	"Ref8537_S49_20230414"	"Ref8537_S52_20230414"	"Ref8537_S60_20230414"	"Ref8537_S65_20230414"	"Ref8537_S69_20230414"	"Ref8537_S75_20230414"	"Ref8537_S79_20230414"	"Ref8537_S82_20230414"	"Ref8537_S88_20230414"	"Ref8537_S94_20230414"	"Ref8537_S100_20230414"
"P05194"	17335400	15224200	15153900	16003100	15391500	14634300	15401900	15865400	16447500	14499300	15524700	16453700	16633000	16620300	15434600	16268900
"P41407"	46620100	39188600	36491600	36092100	44843500	36716500	41844400	43279700	42020600	34044600	42581200	38575400	46063000	42567400	36568600	44806300
"P02413"	213435000	242743000	254503000	213628000	239169000	216463000	308437000	334874000	315388000	287082000	330561000	287461000	324167000	323630000	288852000	347563000
"P0A8X0"	36664900	39071200	29699500	39302600	37980700	37071000	42311200	47041800	39514000	43441100	37175300	37425100	39515600	33081800	39345100	37462300
"P30958"	34153400	35035900	34730100	35902700	32521400	35788900	33081100	31669500	34045200	30148900	32122200	33744300	33143500	33400400	35369400	33471800
"P45527"	2531220	3609410	3600260	3308010	1943320	3170490	3855610	3003590	3420700	3600700	2820240	3147970	3495700	3530640	3421580	3414710
"P0ACM9"	3017950	3882040	3142040	2777620	2376310	2730230	3270500	1698540	3060660	2417100	1974480	3042040	2345900	2024270	4469630	2102350
"P00448"	437057000	297396000	287948000	676472000	436505000	626718000	305869000	276172000	336960000	330728000	355417000	406356000	329921000	292486000	367093000	330684000
"P08200"	1437880000	846796000	842125000	1414640000	1326910000	1417100000	817005000	798297000	1005080000	805598000	1071780000	941893000	959416000	890283000	944970000	946280000
"P37757"	8837960	8085900	7506330	9733390	8957920	10362300	7142860	8181060	6972120	7590530	7763160	8417030	8172100	8097910	7747430	8081180
"P09831"	136189000	277338000	298394000	120405000	120688000	119467000	286120000	297061000	310535000	221915000	312580000	278798000	303429000	308231000	282968000	291179000
"P00490"	41292400	63809200	70103100	50311700	38451400	40576700	64858900	61899700	63833100	53771800	60628600	69615000	66769000	68194400	63990400	69783800
"P28304"	45859700	37799200	38010700	47037000	42008700	46479900	37471700	37880800	37164200	38392400	32328700	40260800	37024400	37803000	38269200	38401600
"P00582"	45943500	46029300	44112400	52877700	45694700	49205800	44738800	44767100	45171200	44553600	45411600	44960400	44089400	43425600	45834800	44485400
"P11446"	53902900	68770100	58771000	38330400	37151500	43353400	62870600	58414300	58678400	49470100	56584100	55162900	52500100	59645600	57049100	56802100
"P08312"	71001700	77733500	81026800	65316000	65799400	69559600	80776400	81321600	81713900	74872000	82073200	78397800	79559300	81129600	74377300	79807000
"P0AFT2"	17700000	17100500	17165600	17525300	12558600	10407400	16694200	15448500	14915300	14767200	14759300	13749800	17066800	15973100	13744700	14670000
"P37440"	43976500	12251100	12779400	37641100	39481100	46812400	10777300	10856800	11460900	10713400	9226170	12330700	11013400	11280400	12911800	10362600
"P76536"	22119400	32708400	31588300	22108800	20878100	22139900	30596600	28443900	30798600	28310000	25647800	31483200	29907800	32766000	30260800	30434600
"P31992"	28250100	23178100	17621900	30635200	30542400	29676400	29243100	28515800	28210000	28491000	28177700	26741600	26380000	22025700	23505600	26936200
