rowname,20230516_EXPL1_LiSc_SA_S610_RT_25_s2,20230516_EXPL1_LiSc_SA_S610_RT_27_s12,20230516_EXPL1_LiSc_SA_S610_RT_30_s30,20230516_EXPL1_LiSc_SA_S610_RT_32_s38,20230516_EXPL1_LiSc_SA_S610_RT_35_s51,20230516_EXPL1_LiSc_SA_S610_RT_36_s56,20230516_EXPL1_LiSc_SA_S610_RT_37_s63,20230516_EXPL1_LiSc_SA_S610_RT_38_s68,20230516_EXPL1_LiSc_SA_S610_RT_39_s72,20230516_EXPL1_LiSc_SA_S610_RT_40_s80,20230516_EXPL1_LiSc_SA_S610_RT_41_s81,20230516_EXPL1_LiSc_SA_S610_RT_42_s89,20230516_EXPL1_LiSc_SA_S610_RT_43_s92,20230516_EXPL1_LiSc_SA_S610_RT_44_s96,20230516_EXPL1_LiSc_SA_S610_RT_45_QC1_LabD
P04395,17.761393471633806,17.615546474525956,17.71869088190606,17.696971620133304,17.424181914775303,17.32707647073628,17.55155106559817,17.574742896905775,17.45475473686919,17.445760762974256,17.504365828437486,17.482563002561452,17.484747326851544,17.44408839604716,17.645052160696768
P04425,22.124236353866245,22.16764859867498,22.244391525595013,22.00634655886589,22.321099119640486,22.318503417890945,22.439385409947956,22.3039044051204,22.334507131893307,22.335441148628092,22.319104491593603,22.34027139213298,22.300973310905285,22.28949575541136,22.209526321848177
P04693,23.45552477219079,23.434395658989786,23.42497090555059,23.598850172172288,23.647493846363066,23.649577946904312,23.646736018839768,23.637019368324697,23.632286949814766,23.62327746628834,23.628522582900906,23.58353723841208,23.5881836888204,23.636187381603268,23.648421430223184
P04805,23.602805031308243,23.6078848489707,23.65588014529788,23.371373788942336,23.36699713100984,23.381889811694073,23.22626634149229,23.502170417631568,23.46141468415977,23.33635713245225,23.313334035072906,23.342882744143573,23.339108952336524,23.324920073483597,23.472153177747046
P04816,23.589132672130944,24.005181793726614,23.813772477169316,23.670102147370415,23.988905508219652,24.05667910029854,24.249718599879706,24.027463603175683,24.0873283396245,24.11258626146126,23.961444859351857,23.936148884604357,24.022467571599513,23.889613848542446,23.83193726742759
P04816;P0AD96,24.629225914710013,25.062799914634255,24.80118418431045,24.935757270467068,24.86411789523405,25.023573617220976,25.071102507519377,24.768189906217376,25.062117699849228,25.109876680074912,24.842653123429454,24.868180228377543,24.856573438679,24.640327835383378,24.973292266392807
P04825,23.396443687184224,23.452164893764007,23.39634118240621,23.48790304919507,23.345075208126424,23.347109590025585,23.15915036535528,23.29458095450343,23.31856218313961,23.174394333372852,23.285283566117197,23.342089205746642,23.25882229085385,23.31238233171674,23.57990817637688
P04846,22.818782498515972,22.82105956869055,22.811088484721893,22.735023737092845,23.132144478795766,23.169867807407826,23.000522757582175,23.11573255970537,23.112305895123704,23.007112948529276,23.033889226470123,23.068478828635342,23.0711817192037,23.238315239089417,22.84591255141728
P04949,21.83721415400067,23.468468541001428,22.464817305432284,24.279294078795196,18.88199839626926,18.987468915611153,19.466420372006958,20.863217383108584,19.865887999825816,19.708153294653634,18.62553135096099,18.440128785697063,18.207805998756818,17.48118194846107,23.124195289807723
P04951,21.053042193730104,21.105470309741513,21.135876088564807,20.97915193407183,21.191168200085023,21.18133333879506,21.216087158083837,21.226745505599983,21.205884010645256,21.273046643348422,21.168420440414625,21.242015610461788,21.173144169385726,21.211154064709625,21.162501511017304
