rowname	DDA_NVG_D5_1	DDA_NVG_D6_1	DDA_NVG_F7_1	DDA_NVG_M8_1	DDA_NVG_D5_2	DDA_NVG_D6_2	DDA_NVG_F7_2	DDA_NVG_M8_2	DDA_NVG_D5_3	DDA_NVG_D6_3	DDA_NVG_F7_3	DDA_NVG_M8_3
Cysteine--tRNA ligase, cytoplasmic	19.8134147252279	19.615646720681198	19.7989215138904	19.623266097991	19.5944468525431	19.7370124663235	19.8417687584376	19.759198347408198	19.792477544371998	19.8457800582831	19.8241833880642	19.712622026098398
Protein transport protein Sec61 subunit beta	19.542400567296195	19.565341416456494	19.839778948861493	19.393562531395695	19.626427076664296	19.709263783373995	19.917799762325096	19.331512114320894	19.598177582209196	19.705667584268195	19.929098190206094	19.279746702548195
Protein FAM114A2	19.588761327495607	19.49749151500441	19.65074832166071	19.59579092379891	19.19449812353231	19.54392000840351	18.817590524439208	19.841015852415808	19.18710593432171	19.28482513119251	19.44565971685491	19.426949580102608
Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1	18.426264397588454	18.501798066468155		18.742620976048457	18.264090024039355		18.597286054290855	18.832396074582057	18.154188666658357	18.454028468697256	19.091168357939356	18.518727216961057
High mobility group protein B2	21.565189963322474	21.534871442951278	21.229907579576874	21.805332761730874	21.57744115356177	21.502248998216174	21.260650821747575	21.65950975639967	21.62514276200468	21.587515607377576	21.38904148793838	21.744004490305272
Catechol O-methyltransferase	19.638970645382482	19.026242517338883	19.19783182050608	18.94074538596318	19.63411866046728	18.916043028829982	19.530641317152583	19.130064224711482	19.43735423785088	19.20363042609908	19.60410062453198	19.22702216842028
Enoyl-CoA delta isomerase 2, mitochondrial	19.54492671751768	18.213168374652778	18.38677188045988	18.273113922373078	18.30433157601188	18.099058690503277	18.34214531810238	18.367123440438178	18.430868272271177	18.185928327558877	18.745546191840177	
Syntaxin-12	18.702220571935342	18.85489760169844	19.47689718915874	19.12009826071594		18.95143087620514	18.83298567732264	18.955028527221042	19.47316510273744	19.499363945976942	18.97563783675194	18.77323297373194
Neurolysin, mitochondrial	18.9838092016422		18.3744938105289		18.878689058024	18.6418927013314	18.7825067436844	18.5811782641148	18.4484922673594	18.4026843379873	19.0121681931253	18.3875433503411
39S ribosomal protein L47, mitochondrial	18.843037402005418	18.70993768443542	18.60304219770492	18.63039675901242	19.419746458038517	18.54586057039762	18.44469560672502	19.06630760869462		17.48873882113982	18.56578822644692	18.70194988967982
Serine/arginine repetitive matrix protein 1	20.22058269859512	19.61263715081282	19.904237144313722	19.73023984433292	19.55904484389422	19.792383546327223	19.48369618333712	19.89900054263052	19.68020279326932	19.83718866375592	19.75224586236892	19.87826169607852
Aminoacyl tRNA synthase complex-interacting multifunctional protein 2	20.35370251399009	20.09556061781099	20.10775642607059	20.63384731004499	19.96822134050079	20.96869410725479	20.15712452874629	20.34894388855309	20.02307346127169	20.11379713830769	19.99394216103769	19.971369390551292
Ubiquitin-conjugating enzyme E2 K	19.659454802737873	19.543350680590574	19.750893720398974	20.105516133328074	19.717665195205075	19.811190925032374	19.693712025868873	19.946416698151975	19.877022955984174	19.622815960446673	19.753016351228673	19.953573179321374
60S ribosomal protein L36	21.49791455477215	21.30543483386635	21.311358689111252	21.49046297013495	21.38809936590765	21.31487036349175	21.44944508188125	21.46456356907685	21.35173057876105	21.377381298375152	21.59202250035205	21.28890202320365
26S proteasome non-ATPase regulatory subunit 13	19.930630642265392	20.002584944260292	19.973218037722294	19.827977818257093	20.266894425314693	20.17542798269899	20.135291437959992	19.974535217387892	19.997749883858592	20.15160902495399	20.071389997982493	20.28619551223609
Pentatricopeptide repeat domain-containing protein 3, mitochondrial	19.323178548435042	19.087447545537042	18.897275407533144	18.941759024242945	19.319891757582642	19.24561673545564	18.993527383067544	18.958247756151742	19.199577249711943	19.06935979709054	19.35161729056634	19.033040644200643
U3 small nucleolar RNA-interacting protein 2	18.47629001815763	18.05327381897913	19.25098592081833	18.54327210221863	18.75706130930323	19.289831554107128	18.73518801666953	18.59205058949453	18.89380602529793	18.865768867316127	18.90645453981723	18.873159639600228
Protein PRRC2C	18.806586223857042	18.935277682398443	18.55581271858444	19.201499791868642	19.074668113719042	18.55421520905154	18.561047549123142	18.758665116663042	18.726096370190742	18.662087472462442	18.86815597330354	18.835872045690543
3-ketoacyl-CoA thiolase, peroxisomal	18.675722441000627	19.238594505286425	19.205613597166828	19.014585482547126		19.197906310566427	19.490812137119626	19.255290672890126	18.104082925914927	19.277396621896628	19.391551662909528	19.312401789312826
Thymosin beta-10	21.971265183516163	21.803270125417665	21.515691113643264	22.176849368775365	22.000827097207463	21.780055109068062	21.615179574871963	22.289698650593863	21.958770301656365	21.792856894934463	21.510814975236563	22.203298530935463
COP9 signalosome complex subunit 2	19.095478502249613	18.84194085254931	19.14006141166661	18.97638319725231	18.98153638600571	19.04174714746751	19.06152442972021	19.20081743865101	18.98469768105071	19.050076628320113	19.259947777118914	19.078930101380212
26S protease regulatory subunit 7	20.378038671706783	20.42699490402828	20.50778632235978	20.307636425295083	20.442237154203482	20.469847929077382	20.44611290514058	20.38437927860528	20.349103754977882	20.472189202246383	20.44825637035928	20.29477505555928
Exosome complex component MTR3	18.726930079535297	18.692805548864797	18.553738078058398	18.5362808544649	18.706657555356898	18.782244437685197	18.848969454868897	18.9976522138982	18.940572554949398	19.2756372369896	18.4886288664692	18.541719025332096
Protein BRICK1	18.695450563829052	19.563724165310852	19.51366504605345	19.43661960618385	19.33301375384185		18.755567900156052	18.88406556225765	18.71670383651425	18.76003806093195	19.18255163536925	19.15921130433725
Serum albumin	18.2069250648233	18.5564112198393	19.0347426436892	18.2651091727211	17.9321499341153	18.6317244269028	19.1518306483787	18.2471930178735	18.2301666004661	18.5066332107053	19.0412546207985	17.7420729030484
dCTP pyrophosphatase 1	19.16921149427042	19.229702279769022	18.94462208739852	19.08811686781362	18.71021499524442	19.09735950337782	19.31931660641432	18.74184116768692	19.16511738732142	19.40976062378542	19.41403550327812	19.02871631418942
Ribosome biogenesis protein WDR12	18.998083597107932	19.00095302254753	18.995280322485133	19.08091302316583	19.00880954618843	19.065169209176332	18.89986368238393	18.93367639385913	19.29899920055823	18.861910461794032	19.100892723554832	19.088827594369032
